name,result,value
Bryan Scott,td,22
Bryan Scott,int,6
Trey Reynolds,td,16
Trey Reynolds,int,3
William Livingston,td,12
William Livingston,int,5
Kevin Russell,td,10
Kevin Russell,int,7
Adam Friederichsen,td,8
Adam Friederichsen,int,7
Mac Vail,td,7
Mac Vail,int,1
Andrew Chavez,td,6
Andrew Chavez,int,4
Edward Sias,td,5
Edward Sias,int,7
Taylor Mensik,td,4
Taylor Mensik,int,2
Sam Healy,td,2
Sam Healy,int,1
Paul Avila,td,2
Paul Avila,int,1
Luke Lowell,td,2
Luke Lowell,int,0
J. Moore,td,2
J. Moore,int,10
Stephen Smith,td,1
Stephen Smith,int,2
J. Anderson,td,1
J. Anderson,int,5
